Isıtma_Tipi_Standard,count,mean,median,min,max,std
Kombi (Doğalgaz),11902,3828834.802470173,2150000.0,20000.0,3250000000.0,47310391.63496104
Yerden Isıtma,1774,4705876.045659526,2850000.0,65000.0,200000000.0,7249504.128812554
Klimalı,1725,4284194.986086956,2950000.0,35000.0,90000000.0,5356925.451015116
Merkezi (Doğalgaz),1587,4923936.719596723,2150000.0,30000.0,1899000000.0,65620141.27980795
Sobalı,848,17339166.083726414,1994999.5,29000.0,7500000000.0,285063179.53314894
Merkezi (Pay Ölçer),801,2940690.258426966,2350000.0,265000.0,49000000.0,2583049.316149469
Isıtma Yok,458,3859831.8755458514,2587500.0,74999.0,45000000.0,4482579.755935682
Kat Kaloriferi,312,9600246.794871794,2992500.0,434000.0,860000000.0,52539660.73774447
Doğalgaz + Sobalı,218,2427015.5963302753,1882500.0,260000.0,15000000.0,1957947.5741852587
Diğer,173,6465726.589595376,3100000.0,365000.0,105000000.0,10432372.192875609
Merkezi (Kömür),123,2853495.9349593497,2250000.0,35000.0,26500000.0,3492588.4275367567
Jeotermal,109,3353733.9449541285,2550000.0,25000.0,48500000.0,5654571.2688155975
Güneş Enerjisi,101,4276435.633663367,3100000.0,525000.0,21000000.0,4017905.8413364487
